	lat	lng
97657	50.3480921	10.0080381
97659	50.3793571	10.1038871
97688	50.21243639999999	10.0588367
97702	50.2566073	10.2662418
97705	50.267865	9.9933467
97708	50.2752855	10.054223
97711	50.1832281	10.2760911
97714	50.1434287	10.133891
97717	50.1519529	10.037047
97720	50.2209348	10.1239173
97723	50.2059612	9.8932228
97724	50.2765076	10.1790713
97725	50.1452562	9.964387199999999
97727	50.1067928	9.9333368
97729	50.1387937	10.0682917
97737	50.0558088	9.7051863
97753	49.9686579	9.7556389
97762	50.11407879999999	9.8742434
97769	50.30363680000001	9.784952299999999
97772	50.3766895	9.9130656
97773	50.1943688	9.537137399999999
97775	50.1430675	9.654487999999999
97776	50.0048529	9.824850999999999
97778	50.131611	9.5426606
97779	50.2801111	9.8944694
97780	50.020225	9.781607
97782	50.1223851	9.7398834
97783	50.0406511	9.7867575
97785	50.1878324	9.6159114
97786	50.3879473	9.7736812
97788	50.036658	9.6245018
97789	50.2737493	9.804508
97791	50.2259267	9.595230599999999
97792	50.3210395	9.8627775
97794	50.0927981	9.6473826
97795	50.2697221	9.8598543
97797	50.1662217	9.787574099999999
97799	50.2603966	9.6701597
97816	49.9891996	9.572247599999999
97828	49.8444564	9.5719246
97833	50.0616125	9.384585
97834	49.858625	9.6950202
97836	49.8598827	9.5104031
97837	49.8187334	9.6274721
97839	49.861053	9.527494299999999
97840	49.8682336	9.6034844
97842	49.8671966	9.6380599
97843	49.9343258	9.4220662
97845	49.9307988	9.5706714
97846	50.0453375	9.519950999999999
97848	49.9826894	9.5103624
97849	49.9190277	9.622646999999999
97851	49.89293809999999	9.5858843
97852	49.8348605	9.4641741
97854	49.9521074	9.6688806
97855	49.7965792	9.5889144
97857	49.9018172	9.6721344
97859	50.02936	9.4306884
97877	49.7338642	9.4743245
97892	49.7669435	9.5195932
97896	49.7478705	9.366137300000002
97900	49.6675881	9.5182355
97901	49.82820419999999	9.3930519
97903	49.7719032	9.3322973
97904	49.7890777	9.3666416
97906	49.783434	9.445024
97907	49.7910745	9.491301499999999
97909	49.7829655	9.4043729
97922	49.5478594	9.729432100000002
97941	49.6254457	9.6632746
97944	49.4723473	9.6502987
97947	49.6072297	9.746646199999999
97950	49.67892150000001	9.7617321
97953	49.6179736	9.5956092
97956	49.671024	9.6413783
97957	49.612306	9.8388399
97959	49.43365559999999	9.683252699999999
97980	49.4636557	9.7532256
97990	49.4836562	9.879681000000001
97993	49.4714389	10.0299692
97996	49.3994633	9.919435199999999
97999	49.5279849	9.842101399999999
98527	50.5935661	10.6972624
98528	50.6383545	10.7372183
98529	50.61477379999999	10.6734566
98530	50.5826265	10.5349769
98544	50.6593076	10.6667281
98547	50.66638589999999	10.5549366
98553	50.5367454	10.7450312
98554	50.6440078	10.6050499
98559	50.7063964	10.7258034
98574	50.7220373	10.4394631
98587	50.7073073	10.6013094
98590	50.7072284	10.2531279
98593	50.7621675	10.4751089
98596	50.78785	10.4083935
98597	50.7624721	10.3294293
98599	50.8285188	10.4236579
98617	50.530613	10.3539589
98630	50.3850589	10.5758249
98631	50.4489525	10.4478809
98634	50.60617449999999	10.1562028
98639	50.6096462	10.3839779
98646	50.4042177	10.7077937
98660	50.5062602	10.6220165
98663	50.2795	10.7245549
98666	50.5076669	10.9429615
98667	50.5328464	10.8970029
98669	50.4099672	10.814145
98673	50.4232162	10.9078593
98678	50.447138	10.9491364
98693	50.6998937	10.9065607
98701	50.5921286	11.0464115
98704	50.6719472	10.9798093
98708	50.64968830000001	11.0037202
98711	50.6037584	10.812905
98714	50.6343427	10.8608553
98716	50.71812449999999	10.8467402
98724	50.4939927	11.1404127
98739	50.533288	11.2202636
98743	50.5167966	11.2829692
98744	50.572928	11.1370103
98746	50.53775049999999	11.0668209
98749	50.4746297	11.0696649
99084	50.9754314	11.0261851
99085	50.98585569999999	11.0551835
99086	50.995767	11.0342893
99087	51.0291513	11.0440555
99089	50.99772189999999	11.0137723
99091	51.0207253	10.9895352
99092	50.9821987	10.9827756
99094	50.9459671	10.9754933
99096	50.956666	11.0293482
99097	50.9508135	11.0716034
99098	50.9983061	11.145463
99099	50.9629108	11.0744063
99100	51.0744909	10.8554092
99102	50.9142953	11.1506053
99130	51.165691	10.451526
99189	51.0451572	10.9503104
99192	50.9105544	10.9151181
99195	51.0923739	11.0992242
99198	50.9693475	11.1547517
99310	50.8100961	10.9640913
99326	50.75397210000001	11.1110548
99330	50.7531468	10.7869986
99334	50.8784168	10.972117
99338	50.7774402	10.9017844
99423	50.9809955	11.3236408
99425	50.972556	11.3558499
99427	50.9936113	11.3203362
99428	50.9603025	11.2556246
99438	50.8967473	11.2678879
99439	51.0734088	11.2971731
99441	50.94415069999999	11.4297886
99444	50.8608808	11.3432892
99448	50.84121709999999	11.1885944
99510	51.0110833	11.5004392
99518	51.0878954	11.6285723
99610	51.17087	11.1651486
99625	51.2124738	11.2823676
99628	51.1223059	11.4175773
99631	51.1954487	11.068204
99634	51.1573739	10.9741019
99636	51.20437190000001	11.3652228
99638	51.257295	11.0925935
99706	51.3657675	10.8994267
99707	51.3600296	11.0415198
99713	51.2862655	10.7338206
99718	51.2344562	10.9305183
99734	51.4990777	10.8371712
99735	51.4711739	10.7422562
99752	51.4417675	10.5722245
99755	51.55160619999999	10.6136475
99759	51.40537020000001	10.58608
99762	51.5696178	10.8793392
99765	51.4469708	10.879917
99768	51.5770946	10.7874954
99817	50.9856643	10.3144599
99819	50.9134368	10.2028185
99820	51.0232485	10.4830524
99826	51.0787394	10.3351003
99830	51.1259667	10.2190912
99831	51.05249500000001	10.2482525
99834	50.9635367	10.0672678
99837	50.9297773	10.1121563
99842	50.8968698	10.3653678
99846	50.9152229	10.4247541
99848	50.94210349999999	10.3892963
99867	50.9511526	10.6949334
99869	50.8969049	10.7671937
99880	50.9318497	10.5608574
99885	50.8274189	10.734037
99887	50.8318947	10.6635763
99891	50.87844949999999	10.5115237
99894	50.8579815	10.5641434
99897	50.7929819	10.6131727
99947	51.0949266	10.6232172
99955	51.1613707	10.8190946
99958	51.0937825	10.7501659
99974	51.2374356	10.4511186
99976	51.2562623	10.3591531
99986	51.16568789999999	10.4210416
99988	51.1611684	10.2391243
99991	51.1522223	10.5744339
99994	51.244929	10.659656
99996	51.3003965	10.5743579
99998	51.2311919	10.5873363
